PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
38,21.636753000319,1,9,1.011369,74.895657782786
39,41.5983795840293,7,226,1.316077,69.8128815811987
39,45.5990967918187,7,306,1.373193,72.3397553635713
38,20.2666302081198,10,387,1.283076,72.9924627261138
40,20.0510197919793,3,189,1.257827,69.9590124306269
38,40.3672620421275,3,84,1.632189,77.6531074294134
39,21.8132685408928,9,336,1.669586,72.3336793673344
41,21.4474127916619,3,70,1.542274,71.3980954322146
40,20.7837789589539,7,222,1.708669,69.8895010631531
42,44.9663054579869,9,279,1.330978,70.1037520941879
41,21.7500438746065,4,66,1.373316,69.4307784618038
42,35.8161522499286,1,10,1.414589,73.1450614985079
40,21.8648098339327,10,160,1.82335,69.5679667056538
39,21.41471562488,15,247,1.96024,71.6091174727831
38,20.6330127920955,5,61,1.297163,73.4810011681953
57,28.8321053329855,4,146,0.8988858,62.630943757923
43,21.634152750019,6,53,1.305125,67.1232529634307
39,20.498960332945,7,237,1.314037,70.9143983773314
43,40.8330288752913,8,168,1.613378,70.5498381691097
