PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
24,11.9776789997704,0,0,1.113474,30.8569478802383
21,10.7140174163505,1,1,1.008016,29.6428472114106
22,11.0181801249273,0,0,1.563398,32.6658484568311
23,11.5478984997608,0,0,1.50215,30.8921539791576
27,13.5813137078658,1,4,0.9379854,29.1216791159025
24,12.0488739591092,1,2,0.9127781,31.3466180620405
21,10.7152688330971,0,0,1.023061,34.3703214256536
22,10.8295862497762,0,0,1.520038,32.6084545813501
22,11.1322684590705,1,3,1.017617,33.2592746073549
24,12.1147715840489,0,0,1.073622,31.5640589299922
22,11.2143183751032,0,0,1.354085,33.2632652610879
25,12.6480976669118,1,8,0.9591318,29.9315434508026
23,11.5471465839073,0,0,1.084819,32.0874364115298
24,12.1153905000538,0,0,1.441179,31.2881041318178
22,10.9143990417942,0,0,1.396087,32.724948769266
23,11.5644965842366,0,0,1.768853,31.8229655006334
22,11.2350360830314,0,0,1.471473,33.2180303521454
22,11.1643985840492,0,0,1.64331,33.2647992975333
23,11.630587708205,0,0,1.53349,33.4394746055098
