PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
17,9.53859033295885,1,2,2.177567,53.8037671324085
15,10.7796640410088,3,27,2.212946,61.2032637931406
22,10.8125932500698,1,31,1.800292,46.4425926223736
19,9.48263187520206,10,169,1.7614,48.3652458183075
14,9.46605145791546,2,24,1.744153,61.5143391436764
16,9.53286791685969,3,41,2.160119,52.440174476942
19,10.0156202502549,1,16,1.886384,45.852616184244
20,9.79919162485749,2,27,1.414037,47.706439672038
15,11.0327864577994,3,36,2.482718,61.8434028079112
16,9.39814870804548,3,61,2.095016,58.6549088766333
18,10.5495419586077,3,37,1.267206,50.8341390329103
15,9.56757458299398,5,100,2.12529,61.603655697157
19,10.281934000086,4,76,1.569764,51.5740482185624
17,9.74852987471968,6,159,1.23551,52.1201766096056
15,10.2483620406128,1,17,1.894496,57.2831556821863
13,8.21317054191604,2,55,1.752367,62.6778237593289
16,9.20183591591194,4,133,2.005935,56.1920859909151
15,8.18518820777535,4,88,2.078205,55.1261500144998
17,9.89802629221231,2,27,1.923474,54.1457084336263
