PathLength,PathDuration,CollisionCount,FramesInCollision,PathJerk,GaTimes
18,8.93278125021607,1,3,1.750184,36.7140947427187
19,9.74686441710219,0,0,1.726912,35.4631095389394
19,9.3311974578537,0,0,1.722325,36.609991404571
19,9.43178216693923,0,0,1.496272,35.296962792544
19,9.43147616740316,1,29,1.4866,36.5730966196248
18,9.22951583284885,1,18,1.046057,37.5231343269762
18,9.18001849995926,0,0,1.45023,38.8644628433718
18,9.19793708389625,1,9,1.865949,37.5941874614606
20,9.88022754201666,0,0,2.242393,35.3488084860146
19,9.61544362502173,1,36,1.420653,37.0221973739957
18,9.2157526249066,0,0,1.768818,36.9699120573286
20,9.96270820870996,0,0,1.563292,35.7732521370053
20,10.0998767497949,1,15,0.949061,36.4704229403287
18,8.77904075011611,0,0,1.875828,37.6344374122305
19,9.43144654203206,0,0,1.778236,36.0760657901042
20,9.71531229093671,1,31,1.265791,35.6592332944274
20,10.0483512501232,1,2,1.699266,34.820724860765
21,10.6483096252196,1,15,1.122706,33.9364523644603
19,9.56687554111704,0,0,1.569088,36.3606821843668
